trial,L_HIGH,PORT_SL,PORT_TSL,EARLY_KILL_X,EARLY_KILL_Y,EARLY_FILL_Y,EARLY_FILL_X,Sharpe,CAGR%,MaxDD%,Calmar,WF_CV
249,2.401747,-0.063780,0.936601,37,0.003076,0.088282,691,3.506700,3775.050000,-30.448000,123.986000,0.592800
250,2.261793,-0.054628,1.004776,38,0.002639,0.095660,513,3.263300,2818.400000,-34.897000,80.762000,0.615400
251,2.407832,-0.067252,1.013912,33,0.002206,0.069248,484,2.317100,730.920000,-40.598000,18.004000,1.010200
252,2.032849,-0.052283,1.032252,31,0.002118,0.113562,766,2.336100,723.620000,-43.136000,16.775000,0.815800
253,2.320744,-0.062356,1.003187,36,0.003053,0.105318,690,3.053500,2443.510000,-37.794000,64.654000,0.638700
254,2.132268,-0.059418,0.810823,38,0.002426,0.065054,574,2.846900,884.280000,-33.344000,26.520000,0.867400
255,2.350511,-0.056944,0.950233,39,0.001987,0.109082,609,3.081900,2770.620000,-43.374000,63.877000,0.794900
256,2.075314,-0.063400,1.010645,33,0.003165,0.074868,751,1.810100,263.680000,-31.575000,8.351000,0.910900
257,2.253619,-0.061986,0.933358,31,0.003464,0.102582,825,2.080400,568.480000,-50.040000,11.360000,0.928200
258,2.012591,-0.059043,0.875439,31,0.002334,0.085749,860,2.459500,651.930000,-28.872000,22.580000,0.658700
259,2.084307,-0.065935,0.912366,38,0.002934,0.089942,789,3.515500,2582.000000,-26.831000,96.231000,0.577300
260,2.388307,-0.059853,0.907738,36,0.003570,0.059173,729,2.910100,1059.620000,-31.278000,33.878000,0.697100
261,2.191900,-0.067590,0.898247,35,0.004109,0.086442,536,3.393200,2583.710000,-34.284000,75.363000,0.734900
262,2.075443,-0.052713,0.765153,34,0.003646,0.106810,451,2.181900,588.740000,-46.967000,12.535000,1.812600
263,2.230792,-0.053777,1.019091,32,0.003304,0.077489,802,2.045900,407.080000,-30.184000,13.487000,0.785700
264,2.161394,-0.064674,0.827283,39,0.003001,0.108439,921,3.078900,2375.810000,-38.567000,61.602000,0.663200
265,2.419485,-0.055031,0.842461,33,0.002431,0.095936,1004,2.447900,1001.860000,-42.593000,23.522000,0.661200
266,2.415722,-0.060482,0.937537,39,0.004039,0.068678,736,2.948400,1232.650000,-35.053000,35.165000,0.762800
267,2.346448,-0.056458,0.883748,40,0.004164,0.119240,892,2.368800,894.010000,-52.581000,17.003000,2.153600
268,2.098417,-0.056775,0.912766,36,0.003013,0.099840,667,3.106200,1943.660000,-33.992000,57.180000,0.643700
269,2.309637,-0.057004,0.854283,31,0.002253,0.115238,689,2.306600,883.870000,-51.313000,17.225000,0.858400
270,2.080262,-0.064668,0.914575,30,0.002559,0.066744,810,1.749300,233.200000,-33.491000,6.963000,0.941400
271,2.101014,-0.052169,0.779832,36,0.001852,0.115113,522,3.075000,2154.240000,-35.839000,60.109000,0.726600
272,2.246889,-0.059004,0.884570,31,0.003727,0.118300,438,1.907200,439.270000,-52.128000,8.427000,1.986300
273,2.058586,-0.067270,0.913363,32,0.002287,0.101519,849,2.314400,684.990000,-47.209000,14.510000,0.824900
274,2.243748,-0.068157,0.898397,33,0.002945,0.079896,561,2.409100,730.540000,-35.474000,20.594000,0.968500
275,2.000224,-0.057340,0.957081,30,0.002854,0.100369,784,2.157600,531.140000,-45.511000,11.670000,0.911100
276,2.321725,-0.065589,0.957161,31,0.002940,0.097445,573,2.161800,642.080000,-53.528000,11.995000,1.582800
277,1.998723,-0.055025,0.887821,34,0.002224,0.113358,965,2.341900,734.880000,-45.476000,16.160000,0.835400
